Karthy +Hidden on 2018/6/20 20:16:52
Count 300: 2112
Count 100: 22
Count 50: 0
Count Geki: 244
Count Katu: 7
Count Miss: 0
Total Score: 184581341
Max Combo: 2636
Is fullcombo: False
Mods: Hidden
3409(3): (311.5555,179.1111) None 0
6428(16): (156.8889,104) K1 2.66670227050781
6442(14): (159.1111,104.4444) K1 2.26619831037468
6447(5): (159.1111,104.4444) K1 0
6463(16): (160.8889,104) K1 1.83250290349567
6478(15): (164.8889,104) K1 4
6496(18): (168.8889,104.4444) K1 4.02461037484451
6512(16): (172.8889,104.8889) K1 4.02462217035961
6528(16): (177.3333,106.2222) K1 4.64008052581257
6546(18): (181.3333,106.6667) K1 4.02462217035961
6561(15): (185.3333,106.6667) K1 4
6578(17): (188.4444,107.5556) K1 3.23559624432955
6596(18): (192.8889,108.8889) K1 4.64018283293413
6612(16): (198.6667,110.6667) K1 6.04512767056272
6628(16): (205.3333,113.3333) K1 7.18012718241308
6647(19): (208,114.6667) K1 2.98148766046962
6662(15): (209.3333,116.4444) K1 2.22213439951675
6678(16): (211.5556,118.2222) K1 2.84591269347342
6696(18): (215.5556,122.2222) K1 5.65685424949238
6712(16): (218.6667,125.7778) K1 4.72453716133888
6728(16): (221.7778,128.4444) K1 4.09751996245193
6742(14): (224,131.5556) K1 3.82331913752477
6747(5): (224,131.5556) K1 0
6762(15): (225.7778,134.6667) K1 3.5832271380461
6778(16): (227.5556,139.5556) K1 5.20210811423648
6796(18): (229.3333,143.1111) K1 3.97514173266302
6812(16): (231.1111,148) K1 5.20210811423648
6828(16): (232,152.8889) K1 4.96905374952762
6846(18): (233.3333,161.7778) K1 8.98833908463335
6861(15): (233.7778,167.1111) K1 5.35178926019669
6878(17): (234.2222,171.5556) K1 4.4666657091049
6897(19): (234.6667,175.5556) K1 4.02462217035961
6912(15): (234.6667,179.1111) K1 3.55549621582031
6928(16): (234.2222,184.4444) K1 5.35178926019669
6947(19): (234.2222,188.8889) K1 4.44450378417969
6962(15): (234.2222,193.3333) K1 4.44439697265625
6979(17): (233.3333,196.8889) K1 3.66503171112605
6997(18): (232.4444,200) K1 3.23559624432955
7012(15): (230.6667,204.8889) K1 5.2020716127556
7028(16): (229.7778,208) K1 3.23559624432955
7042(14): (228.8889,211.5556) K1 3.66503171112605
7047(5): (228.8889,211.5556) K1 0
7063(16): (228,215.1111) K1 3.66492808881922
7078(15): (227.1111,220.4444) K1 5.40686685862617
7096(18): (225.7778,222.6667) K1 2.59158709526193
7112(16): (224,224.8889) K1 2.84582928768628
7128(16): (222.6667,227.1111) K1 2.59149550416512
7147(19): (220,231.5556) K1 5.18313755240193
7162(15): (218.6667,235.1111) K1 3.79726693507075
7178(16): (217.3333,238.6667) K1 3.79740445015502
7196(18): (215.1111,242.6667) K1 4.5758240910943
7212(16): (212.4444,245.3333) K1 3.77121099136705
7228(16): (207.5556,248.4444) K1 5.7947601106983
7246(18): (204.4444,250.2222) K1 3.58331987641882
7262(16): (202.6667,251.5556) K1 2.22219848889511
7279(17): (200.8889,253.3333) K1 2.51411548582412
7296(17): (199.1111,255.1111) K1 2.51419101184218
7312(16): (196.8889,256.4445) K1 2.59154260829254
7328(16): (193.7778,257.3333) K1 3.23557528526981
7342(14): (191.1111,257.7778) K1 2.70349238000322
7346(4): (191.1111,257.7778) K1 0
7362(16): (189.3333,258.2222) K1 1.83250290349567
7378(16): (187.5556,259.5555) K1 2.22214355494106
7396(18): (186.2222,260) K1 1.40553823114315
7412(16): (184,262.2222) K1 3.1426632376502
7428(16): (180,264.4445) K1 4.57586855336956
7446(18): (171.5556,265.7778) K1 8.54900951903351
7461(15): (167.5556,267.1111) K1 4.21636377993165
7479(18): (164.8889,267.5555) K1 2.70347732907779
7497(18): (162.6667,268) K1 2.26621626546165
7511(14): (161.3333,268.4445) K1 1.40553823114315
7529(18): (157.7778,268.8889) K1 3.58316089647375
7547(18): (155.1111,268.8889) K1 2.66670227050781
7560(13): (152,268.4445) K1 3.14267834340743
