Rafis +None on 8/20/2017 5:28:19 PM
Count 300: 2102
Count 100: 31
Count 50: 0
Count Geki: 233
Count Katu: 17
Count Miss: 1
Total Score: 165637440
Max Combo: 2555
Is fullcombo: False
Mods: None
20(0): (148.8889,216) None 0
5422(18): (156,199.1111) None 4.72453716133888
5441(19): (157.7778,196.4444) None 3.20497725757072
5455(14): (157.7778,194.6667) None 1.77769470214844
5473(18): (157.7778,194.2222) None 0.444503784179688
5491(18): (158.2222,195.5556) None 1.40550928111739
5504(13): (160,198.6667) None 3.5832271380461
5522(18): (162.2222,202.6667) None 4.5758240910943
5541(19): (167.1111,208.4444) None 7.56856041010608
5554(13): (172.8889,212.4444) None 7.02730320474284
5572(18): (181.3333,216.4444) None 9.34386644980578
5591(19): (199.1111,221.3333) None 18.4377758222001
5604(13): (212,221.7778) None 12.8965633536115
5623(19): (224.8889,222.2222) None 12.8965596725977
5641(18): (236.8889,222.2222) None 12
5655(14): (242.6667,221.7778) None 5.79486660767054
5672(17): (240.8889,217.3333) None 4.78687707274812
5691(19): (225.7778,202.2222) None 21.3703214920484
5705(14): (207.1111,183.5556) None 26.3986279886883
5722(17): (179.1111,157.3333) None 38.3615601238236
5741(19): (128.4444,113.3333) None 67.1052510536119
5755(14): (99.55556,89.77778) None 37.2750256971607
5772(17): (79.11111,76.44444) None 24.4080600800272
5791(19): (69.33334,69.77778) None 11.8342328433742
5805(14): (65.33334,67.11111) None 4.80740452197161
5815(10): (64.44444,67.11111) K2 0.888900756835938 Slider at 5842ms HIT at 5815ms (-27ms error, 0.390115840229234 perfectness)
5823(8): (64.44444,67.55556) K2 0.444450378417969
5841(18): (65.77778,69.77778) K2 2.59153475701273
5842(1): (65.77778,69.77778) K2 0
5855(13): (66.66666,72.88889) K2 3.23560462814031
5872(17): (66.66666,75.55556) K2 2.66666412353516
5891(19): (68.44444,78.22222) K2 3.20493705332878
5905(14): (69.77778,80) K2 2.22222442627006
5922(17): (72,80.88889) K2 2.39340736803189
5941(19): (75.11111,82.22222) K2 3.38478214763032
5955(14): (78.66666,83.55556) K2 3.79733033472207
5972(17): (81.77778,85.33334) K2 3.58323943997766
5991(19): (84.44444,88.88889) K2 4.44443817138698
6005(14): (85.77778,91.55556) K2 2.98142283267869
6022(17): (88,93.77778) K2 3.14269560642985
6041(19): (91.55556,95.11111) K2 3.79733479948866
6055(14): (99.55556,96) K2 8.04923170197085
6072(17): (105.7778,96) K2 6.22224426269531
6091(19): (111.1111,96.44444) K2 5.3517841911428
6105(14): (115.1111,97.33334) K2 4.09757788888796
6122(17): (118.6667,97.33334) K2 3.55560302734375
6141(19): (122.2222,97.77778) K2 3.58316562780345
6142(1): (122.2222,97.77778) K2 0
6155(13): (124,97.77778) K2 1.77780151367188
6173(18): (124.8889,97.33334) K2 0.993814434923876
6191(18): (126.2222,96.44444) K2 1.60244419277943
6205(14): (129.3333,94.66666) K2 3.58321956749321
6223(18): (132.4444,94.66666) K2 3.11109924316406
6241(18): (135.1111,94.66666) K2 2.66670227050781
6255(14): (137.7778,94.66666) K2 2.66670227050781
6273(18): (140,96) K2 2.59151905593156
6291(18): (144.4444,97.33334) K2 4.6400936795687
6306(15): (148.4444,98.22222) K2 4.09757292374156
6322(16): (152,98.22222) K2 3.55560302734375
6341(19): (156.4444,98.66666) K2 4.4665632231186
6356(15): (158.6667,99.11111) K2 2.26631352105903
6372(16): (160.4444,99.55556) K2 1.83241223334775
6391(19): (162.2222,99.55556) K2 1.77780151367188
6405(14): (165.3333,100) K2 3.14268481683663
6422(17): (169.7778,100.8889) K2 4.53252230475384
6441(19): (177.7778,103.1111) K2 8.30290106605149
6442(1): (177.7778,103.1111) K2 0
6456(14): (183.1111,104.8889) K2 5.62180068069124
6472(16): (187.5556,106.6667) K2 4.78687707274812
6491(19): (195.1111,108.4444) K2 7.76181174219793
6505(14): (200.4444,108.8889) K2 5.35178926019669
6522(17): (205.3333,109.3333) K2 4.90905686252431
6541(19): (209.7778,109.7778) K2 4.46667633724872
6556(15): (213.7778,110.6667) K2 4.09757788888796
6572(16): (216.8889,112.4444) K2 3.58317414520459
6591(19): (220,116.4444) K2 5.06743904756791
6605(14): (222.6667,119.5556) K2 4.0976705717097
6622(17): (225.3333,122.2222) K2 3.77113546345821
6641(19): (227.5556,125.7778) K2 4.19296478937221
6654(13): (228.4444,128.8889) K2 3.23556690211162
6672(18): (230.2222,132.4444) K2 3.97518950022846
6691(19): (232,136.4444) K2 4.37727977424496
6705(14): (233.7778,140.4444) K2 4.37727977424496
6722(17): (234.6667,144) K2 3.66503171112605
6742(20): (237.7778,148.4444) K2 5.42509013301826
6755(13): (241.7778,153.7778) K2 6.6667236329494
6772(17): (245.3333,163.1111) K2 9.98759229484547
6792(20): (246.6667,179.5556) K2 16.4984748500551
6806(14): (246.6667,188) K2 8.44439697265625
6822(16): (246.2222,193.3333) K2 5.35178926019669
6841(19): (246.2222,195.1111) K2 1.77780151367188
6855(14): (246.2222,197.3333) K2 2.22219848632813
6872(17): (247.1111,199.5556) K2 2.39348812246116
6891(19): (248.4444,204.4444) K2 5.06734536766473
6906(15): (248.4444,208.4444) K2 4
6922(16): (248.4444,212.8889) K2 4.44450378417969
